Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",SUMMARY,1,7,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",The Parties to the Merger,1,7,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",The Special Meeting,2,8,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",The Merger,3,7,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Recommendation of Our Board of Directors,4,10,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Opinion of Our Financial Advisor,4,10,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf","Treatment of Common Stock, Convertible Stock, Time Vested Restricted Stock and Performance Restricted Stock",5,11,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Financing,6,12,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Interests of Our Directors and Executive Officers in the Merger,6,12,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Restriction on Solicitation of Competing Proposals,7,13,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Conditions to the Merger,7,13,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Termination of the Merger Agreement,8,14,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Termination Payments,10,16,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Limited Guarantee and Remedies,11,17,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Regulatory Matters,11,17,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",No Dissenters’ Rights of Appraisal,11,17,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,11,17,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Deregistration of Our Common Stock,11,17,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,12,18,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,19,25,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",PROPOSAL 1: MERGER PROPOSAL,21,27,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",PROPOSAL 2: ADVISORY COMPENSATION PROPOSAL,22,28,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",PROPOSAL 3: PROPOSAL TO APPROVE ADJOURNMENT OF THE MEETING,23,29,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",THE PARTIES TO THE MERGER,24,7,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf","Resource REIT, Inc.",24,30,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Rapids Parent LLC,24,30,UNDEFINED,UNDEFINED
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Rapids Merger Sub LLC,24,30,UNDEFINED,UNDEFINED
