Document,Section Header,Section Text,Page Number
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,SUMMARY,UNDEFINED,1
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Parties Involved in the Merger,UNDEFINED,1
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,The Merger,UNDEFINED,3
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Merger Consideration,UNDEFINED,3
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,4
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Litigation Related to the Merger,UNDEFINED,5
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,No Appraisal Rights,UNDEFINED,5
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,5
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Closing Conditions,UNDEFINED,5
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Financing of the Merger,UNDEFINED,6
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Required Stockholder Approval,UNDEFINED,6
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,The Special Meeting,UNDEFINED,7
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Recommendation of the Board of Directors,UNDEFINED,7
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Opinion of Centerview Partners LLC,UNDEFINED,8
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Interests of Sanderson Farms’ Directors and Executive Officers in the Merger,UNDEFINED,9
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Alternative Acquisition Proposals,UNDEFINED,9
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Termination of the Merger Agreement,UNDEFINED,10
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Effect on Sanderson Farms if the Merger Is Not Completed,UNDEFINED,10
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,QUESTIONS AND ANSWERS,UNDEFINED,12
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,FORWARD-LOOKING STATEMENTS,UNDEFINED,19
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,THE SPECIAL MEETING,UNDEFINED,21
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,"Date, Time and Place",UNDEFINED,21
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Purpose of the Special Meeting,UNDEFINED,21
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Record Date; Shares Entitled to Vote; Quorum,UNDEFINED,21
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Vote Required; Abstentions and Broker Non-Votes,UNDEFINED,21
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Stock Ownership and Interests of Certain Persons,UNDEFINED,22
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Voting of Proxies,UNDEFINED,22
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Revocability of Proxies,UNDEFINED,23
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Board of Directors’ Recommendation,UNDEFINED,23
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Solicitation of Proxies,UNDEFINED,24
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Anticipated Date of Completion of the Merger,UNDEFINED,24
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,No Appraisal Rights,UNDEFINED,24
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Delisting and Deregistration of Sanderson Farms Common Stock,UNDEFINED,24
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Other Matters,UNDEFINED,24
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Householding of Special Meeting Materials,UNDEFINED,24
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Questions and Additional Information,UNDEFINED,25
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,THE MERGER,UNDEFINED,26
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Parties Involved in the Merger,UNDEFINED,26
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Effect of the Merger,UNDEFINED,28
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Effect on Sanderson Farms if the Merger Is Not Completed,UNDEFINED,28
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Background of the Merger,UNDEFINED,29
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Reasons for the Merger; Recommendation of the Board of Directors,UNDEFINED,35
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Opinion of Centerview Partners LLC,UNDEFINED,39
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Management Projections,UNDEFINED,46
