Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",SUMMARY,1,9,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Parties to the Merger,19,9,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",The Special Meeting,20,9,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",The Merger,24,9,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Treatment of Company Equity Awards,49,11,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Conditions to Completion of the Merger,74,11,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",When the Merger Becomes Effective,59,12,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Recommendation of the Board,34,12,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Reasons for the Merger,34,13,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Opinion of Morgan Stanley,40,13,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Interests of SPX FLOW's Directors and Executive Officers in the Merger,48,13,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Financing,47,13,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,54,15,UNDEFINED,UNDEFINED
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Regulatory Clearances,57,15,UNDEFINED,UNDEFINED
