Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,SUMMARY,1,6,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,The Parties to the Merger,1,6,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,The Special Meeting,2,7,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,The Merger,4,6,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Recommendation of Our Board of Directors,4,9,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Opinions of Our Financial Advisors,4,9,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,"Treatment of Common Stock, Restricted Stock and Performance Units",5,10,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Financing of the Merger,6,11,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Interests of Our Directors and Executive Officers in the Merger,7,12,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Acquisition Proposals and Obligations of the Board of Directors with Respect to its Recommendation,7,12,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Conditions to the Merger,9,14,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Termination of the Merger Agreement,10,15,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Termination Fees,12,17,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Specific Performance,13,18,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Regulatory Matters,13,18,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,No Dissenters’ Rights of Appraisal,13,18,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Litigation Related to the Merger,13,18,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,14,19,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Delisting and Deregistration of Our Common Stock,14,19,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,15,20,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,22,27,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,PROPOSAL 1: MERGER PROPOSAL,24,29,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,PROPOSAL 2: ADVISORY COMPENSATION PROPOSAL,25,30,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,PROPOSAL 3: PROPOSAL TO APPROVE ADJOURNMENT OF THE MEETING,26,31,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,THE PARTIES TO THE MERGER,27,6,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,STORE Capital Corporation,27,32,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,"Ivory Parent, LLC; Ivory REIT, LLC",27,32,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,THE SPECIAL MEETING,29,7,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,"Date, Time and Purpose of the Special Meeting",29,34,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,"Record Date, Notice and Quorum",29,34,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Required Vote,29,34,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,How to Authorize a Proxy,30,35,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Proxies and Revocation,31,36,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Solicitation of Proxies,31,36,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Adjournments,31,36,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Postponements,32,37,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,THE MERGER,33,6,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,General Description of the Merger,33,38,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Background of the Merger,33,38,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Reasons for the Merger,43,48,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Recommendation of Our Board of Directors,45,50,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Unaudited Prospective Financial Information,45,50,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Opinions of Our Financial Advisors,47,52,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Financing of the Merger,61,66,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Interests of Our Directors and Executive Officers in the Merger,62,67,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Quantification of Potential Payments and Benefits,66,71,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Regulatory Matters,68,73,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Litigation Related to the Merger,68,73,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,69,74,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Delisting and Deregistration of Our Common Stock,74,79,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,THE MERGER AGREEMENT,75,80,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,The Merger,75,74,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Effective Time; Closing Date,75,80,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Organizational Documents,76,81,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Directors and Officers,76,81,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,"Treatment of Common Stock, Restricted Stock and Performance Units",76,81,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,No Further Ownership Rights,77,82,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Payment Procedures,77,82,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Representations and Warranties,78,83,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Conduct of Our Business Pending the Merger,82,87,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Acquisition Proposals and Obligations of the Board of Directors with Respect to its Recommendation,85,90,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Stockholders’ Meeting,91,96,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Agreement to Take Certain Actions; CFIUS Approval,92,97,UNDEFINED,UNDEFINED
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Employee Benefits,94,99,UNDEFINED,UNDEFINED
