Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,SUMMARY TERM SHEET,1,10,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,The Parties,1,10,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,The Special Meeting,2,11,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,The Merger,2,11,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Stockholders Entitled to Vote,2,11,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,How to Vote,2,11,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Recommendation of the Board; Reasons for Recommendation,3,12,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Voting Agreement,3,12,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Investor Rights Agreement,3,12,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Opinion of Duff & Phelps,4,13,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Certain Effects of the Merger,4,13,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Consequences if the Merger is Not Completed,4,13,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Interests of Directors and Executive Officers in the Merger,5,14,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Regulatory Approvals,5,14,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Conditions to the Merger,5,14,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Financing,5,14,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,No Solicitation,7,16,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Termination of the Merger Agreement,8,17,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Termination Fees,8,17,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,Additional Information,9,18,UNDEFINED,UNDEFINED
SYNNEX CORP_20210609_DEFM14A_19338736_4236234.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,10,19,UNDEFINED,UNDEFINED
