Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",SUMMARY,1,9,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Parties Involved in the Merger,1,9,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",The Merger,2,9,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Merger Consideration,2,10,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Treatment of Convertible Securities,4,12,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",U.S. Federal Income Tax Consequences of the Merger,5,13,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Appraisal Rights,6,14,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Regulatory Approvals Required for the Merger,6,14,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Closing Conditions,7,15,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Financing of the Merger,7,15,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Required Stockholder Approval,8,16,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",The Special Meeting,9,17,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Recommendation of the SailPoint Board of Directors,9,17,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Opinion of Morgan Stanley & Co. LLC,10,18,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Interests of Executive Officers and Directors of SailPoint in the Merger,11,19,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Alternative Acquisition Proposals,11,19,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Termination of the Merger Agreement,13,21,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Effect on SailPoint if the Merger Is Not Completed,13,21,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",QUESTIONS AND ANSWERS,14,22,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",FORWARD-LOOKING STATEMENTS,22,30,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",THE SPECIAL MEETING,24,17,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf","Date, Time and Place",24,32,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Purpose of the Special Meeting,24,32,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Record Date; Shares Entitled to Vote; Quorum,24,32,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Vote Required; Abstentions and Broker Non-Votes,24,32,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Stock Ownership and Interests of Certain Persons,25,33,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Voting of Proxies,25,33,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Revocability of Proxies,26,34,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Board of Directors’ Recommendation,26,34,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Solicitation of Proxies,26,34,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Anticipated Date of Completion of the Merger,27,35,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Appraisal Rights,27,35,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Delisting and Deregistration of SailPoint Common Stock,27,35,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Other Matters,28,36,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Householding of Special Meeting Materials,28,36,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Questions and Additional Information,28,36,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",THE MERGER,29,9,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Parties Involved in the Merger,29,37,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Effect of the Merger,30,38,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Effect on SailPoint If the Merger Is Not Completed,30,38,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Merger Consideration,31,39,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Company Options,31,39,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Company RSUs,32,40,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Background of the Merger,32,40,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Recommendation of the Board of Directors and Reasons for the Merger,48,56,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Opinion of Morgan Stanley & Co. LLC,51,59,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Capped Call Transactions,60,68,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Management Projections,61,69,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Interests of Executive Officers and Directors of SailPoint in the Merger,65,73,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Financing of the Merger,70,78,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Closing and Effective Time,73,81,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Appraisal Rights,73,81,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Accounting Treatment,78,86,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",U.S. Federal Income Tax Consequences of the Merger,78,86,UNDEFINED,UNDEFINED
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,83,91,UNDEFINED,UNDEFINED
