Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,SUMMARY,1,7,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,14,20,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,23,29,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,THE SPECIAL MEETING,24,20,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,"Date, Time and Place of the Special Meeting",24,30,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Purpose of the Special Meeting,24,30,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Recommendation of the Board of Directors; Reasons for the Merger,24,30,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Record Date; Stockholders Entitled to Vote,25,31,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Quorum,25,31,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Required Vote,25,31,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Abstentions and Broker Non-Votes; Failure to Vote,26,32,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Voting at the Special Meeting,26,32,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Proxies and Revocation,28,34,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Solicitation of Proxies,28,34,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Rights of Stockholders Who Seek Appraisal,29,35,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Adjournment,29,35,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Other Matters,29,35,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Householding of Special Meeting Materials,30,36,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Voting Results,30,36,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Exchanging Shares of Seagen Common Stock,30,36,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Questions and Additional Information,30,36,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,THE MERGER (PROPOSAL 1),31,37,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Parties to the Merger,31,37,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Seagen,31,36,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Pfizer,31,37,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Merger Sub,31,37,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Effects of the Merger,32,38,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Merger Consideration for Seagen Common Stock; Treatment of Seagen Equity Awards,32,38,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Effects on Seagen if the Merger Is Not Completed,33,39,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Background of the Merger,34,40,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Recommendation of the Board of Directors; Reasons for the Merger,45,51,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Opinion of Centerview Partners LLC,48,54,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Certain Unaudited Financial Information,55,61,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Additional Information About the Seagen Projections,56,62,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Interests of Seagen’s Directors and Executive Officers in the Merger,58,64,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Golden Parachute Compensation,62,68,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Financing of the Merger,64,70,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Closing and Effective Time of the Merger,64,70,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Regulatory Approvals and Clearances Required for the Merger,65,71,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Litigation Relating to the Merger,65,71,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,66,72,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,The Voting Agreement,66,72,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Delisting and Deregistration of Seagen Common Stock,67,73,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,THE MERGER AGREEMENT,68,74,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Explanatory Note Regarding the Merger Agreement,68,74,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Structure of the Merger,68,74,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Closing and Effective Time of the Merger,69,75,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Certificate of Incorporation; Bylaws; Directors and Officers,69,75,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Treatment of Common Stock and Equity Awards,69,75,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Surrendering and Payment Procedures,70,76,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Withholding,72,78,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Effect upon the Employee Stock Purchase Plan,72,78,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Representations and Warranties,72,78,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Seagen’s Representations and Warranties,72,78,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Definition of “Material Adverse Effect”,73,79,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Conduct of Business Pending the Merger,74,80,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,No Solicitation; Adverse Recommendation Changes,77,83,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,No Solicitation,77,83,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Non-Solicitation Exceptions,78,84,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Notification to Pfizer,78,84,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Changes in Board Recommendation,79,85,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,The Special Meeting,80,86,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Regulatory Filings and Efforts to Consummate,80,86,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Directors’ and Officers’ Indemnification and Insurance,82,88,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Employee Benefits Matters,83,89,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Transaction Litigation,84,90,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Financing of the Merger,84,90,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Other Covenants,84,90,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Conditions to the Completion of the Merger,84,90,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Termination of the Merger Agreement,86,92,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Mutual Termination Right,86,92,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Termination Rights by Either Seagen or Pfizer,86,92,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Pfizer Termination Rights,86,92,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Seagen Termination Rights,87,93,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Effect of Termination,87,93,UNDEFINED,UNDEFINED
Seagen Inc._20230424_DEFM14A_20812583_4650531.Pdf,Termination Fee,87,93,UNDEFINED,UNDEFINED
