Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",SUMMARY,1,8,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Introduction,1,8,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Parties Involved in the Merger,1,8,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Effect of the Merger,2,9,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Per Share Price,2,9,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",The Special Meeting,3,10,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Recommendation of the Sierra Oncology Board and Reasons for the Merger,4,11,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Opinion of Lazard Frères & Co. LLC,5,12,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Treatment of Equity Awards in the Merger,5,12,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Treatment Warrants in the Merger,6,13,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Employee Benefits,6,13,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Interests of Sierra Oncology’s Directors and Executive Officers in the Merger,7,14,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Appraisal Rights,7,14,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,8,15,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Regulatory Approvals Required for the Merger,9,16,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",The Support Agreements,9,16,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",No Solicitation of Other Acquisition Proposals,9,16,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Change in the Sierra Oncology Board’s Recommendation,10,17,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Conditions to the Closing of the Merger,10,17,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Termination of the Merger Agreement,11,18,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Termination Fees and Remedies,12,19,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Delisting and Deregistration of Our Common Stock,13,20,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Effect on Sierra Oncology if the Merger is Not Completed,13,20,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Litigation Relating to the Merger,13,20,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",QUESTIONS AND ANSWERS,14,21,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",FORWARD-LOOKING STATEMENTS,24,31,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",THE SPECIAL MEETING,26,10,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf","Date, Time and Place",26,33,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Purpose of the Special Meeting,26,33,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Attending the Special Meeting,26,33,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Record Date; Shares Entitled to Vote; Quorum,26,33,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Vote Required; Abstentions and Broker Non-Votes,27,34,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Shares Held by Sierra Oncology’s Directors and Executive Officers,27,34,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Voting of Proxies,27,34,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Revocability of Proxies,28,35,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",The Sierra Oncology Board’s Recommendation,29,17,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Adjournment,29,36,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Solicitation of Proxies,29,36,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Anticipated Date of Completion of the Merger,30,37,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Appraisal Rights,30,37,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Other Matters,30,37,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf","Important Notice Regarding the Availability of Proxy Materials for the Stockholder Meeting to be Held on June 29, 2022",31,38,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Householding of Special Meeting Materials,31,38,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Questions and Additional Information,31,38,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",THE MERGER,32,8,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Parties Involved in the Merger,32,39,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Effect of the Merger,32,39,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Effect on Sierra Oncology if the Merger is Not Completed,33,40,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Per Share Price,33,40,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Background of the Merger,34,41,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Recommendation of the Sierra Oncology Board and Reasons for the Merger,42,49,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Opinion of Lazard Frères & Co. LLC,46,53,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Certain Unaudited Prospective Financial Information,53,60,UNDEFINED,UNDEFINED
"Sierra Oncology, Inc._20220516_DEFM14A_20099747_4463777.Pdf",Interests of Sierra Oncology’s Directors and Executive Officers in the Merger,56,63,UNDEFINED,UNDEFINED
