Document,Section Header,Section Text,Page Number
Spirit Airlines MA.Pdf,QUESTIONS AND ANSWERS,UNDEFINED,1
Spirit Airlines MA.Pdf,SUMMARY,UNDEFINED,11
Spirit Airlines MA.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,24
Spirit Airlines MA.Pdf,THE SPIRIT SPECIAL MEETING,UNDEFINED,25
Spirit Airlines MA.Pdf,"Date, Time and Place of Meeting",UNDEFINED,25
Spirit Airlines MA.Pdf,Matters to Be Considered,UNDEFINED,25
Spirit Airlines MA.Pdf,Recommendation of the Spirit Board of Directors,UNDEFINED,25
Spirit Airlines MA.Pdf,Spirit Record Date and Quorum,UNDEFINED,25
Spirit Airlines MA.Pdf,Votes Required; Treatment of Abstentions and Failure to Vote,UNDEFINED,25
Spirit Airlines MA.Pdf,Shares Held by Officers and Directors,UNDEFINED,26
Spirit Airlines MA.Pdf,Voting of Proxies; Incomplete Proxies,UNDEFINED,26
Spirit Airlines MA.Pdf,Shares Held in “Street Name”; Broker Non-Votes,UNDEFINED,27
Spirit Airlines MA.Pdf,Revocability of Proxies and Changes to a Spirit Stockholder’s Vote,UNDEFINED,27
Spirit Airlines MA.Pdf,Solicitation of Proxies,UNDEFINED,28
Spirit Airlines MA.Pdf,Householding of Proxy Materials,UNDEFINED,28
Spirit Airlines MA.Pdf,Attending the Spirit Special Meeting (via the Internet),UNDEFINED,28
Spirit Airlines MA.Pdf,Assistance,UNDEFINED,28
Spirit Airlines MA.Pdf,SPIRIT PROPOSALS,UNDEFINED,29
Spirit Airlines MA.Pdf,Proposal No. 1 — Merger Proposal,UNDEFINED,29
Spirit Airlines MA.Pdf,Proposal No. 2 — Compensation Proposal,UNDEFINED,29
Spirit Airlines MA.Pdf,Proposal No. 3 — Adjournment Proposal,UNDEFINED,29
Spirit Airlines MA.Pdf,INFORMATION ABOUT THE COMPANIES,UNDEFINED,31
Spirit Airlines MA.Pdf,THE MERGER,UNDEFINED,33
Spirit Airlines MA.Pdf,Terms of the Merger,UNDEFINED,33
Spirit Airlines MA.Pdf,Background of the Merger,UNDEFINED,33
Spirit Airlines MA.Pdf,Unaudited Prospective Financial Information,UNDEFINED,45
Spirit Airlines MA.Pdf,Reasons for the Merger; Recommendation of the Spirit Board of Directors,UNDEFINED,47
Spirit Airlines MA.Pdf,Opinion of Barclays Capital Inc.,UNDEFINED,50
Spirit Airlines MA.Pdf,Opinion of Morgan Stanley & Co. LLC,UNDEFINED,56
Spirit Airlines MA.Pdf,Financing,UNDEFINED,63
Spirit Airlines MA.Pdf,Interests of Spirit’s Directors and Executive Officers in the Merger,UNDEFINED,64
Spirit Airlines MA.Pdf,Merger-Related Compensation for Spirit’s Named Executive Officers,UNDEFINED,73
Spirit Airlines MA.Pdf,Delisting and Deregistration of Spirit Common Stock,UNDEFINED,77
Spirit Airlines MA.Pdf,Appraisal Rights in the Merger,UNDEFINED,77
Spirit Airlines MA.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,82
Spirit Airlines MA.Pdf,Litigation Related to the Merger,UNDEFINED,83
Spirit Airlines MA.Pdf,THE MERGER AGREEMENT,UNDEFINED,85
Spirit Airlines MA.Pdf,Explanatory Note Regarding the Merger Agreement,UNDEFINED,85
Spirit Airlines MA.Pdf,Structure and Effective Time,UNDEFINED,85
Spirit Airlines MA.Pdf,Merger Consideration,UNDEFINED,85
Spirit Airlines MA.Pdf,Treatment of Spirit Equity-Based Awards and Warrants,UNDEFINED,86
Spirit Airlines MA.Pdf,Payment and Issuance of Merger Consideration; Surrender of Company Certificates,UNDEFINED,87
Spirit Airlines MA.Pdf,Prepayments,UNDEFINED,88
Spirit Airlines MA.Pdf,Directors and Officers,UNDEFINED,88
Spirit Airlines MA.Pdf,Representations and Warranties,UNDEFINED,88
Spirit Airlines MA.Pdf,Conduct of Business Pending the Closing,UNDEFINED,92
Spirit Airlines MA.Pdf,No-Shop; Acquisition Proposals; Change in Recommendation,UNDEFINED,96
Spirit Airlines MA.Pdf,Proxy Statement; Spirit Special Meeting,UNDEFINED,99
Spirit Airlines MA.Pdf,Employee Matters,UNDEFINED,100
Spirit Airlines MA.Pdf,Indemnification and Insurance,UNDEFINED,101
Spirit Airlines MA.Pdf,Other Covenants,UNDEFINED,102
