Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",TRANSACTION SUMMARY,1,10,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Introduction,1,10,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Parties Involved in the Merger,1,10,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Effect of the Merger,2,11,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Per Share Price,2,11,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",The Special Meeting,3,12,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Recommendation of the Sumo Logic Board and Reasons for the Merger,4,13,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Opinion of Morgan Stanley & Co. LLC,4,13,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Treatment of Warrants in the Merger,5,14,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Treatment of Restricted Stock in the Merger,5,14,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Treatment of Equity Awards in the Merger,5,14,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Employee Benefits,6,15,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Interests of Sumo Logic’s Directors and Executive Officers in the Merger,8,17,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Appraisal Rights,8,17,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,9,18,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Regulatory Approvals Required for the Merger,9,18,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Financing of the Merger,10,19,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",The Voting Agreements,10,19,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",No Solicitation of Other Acquisition Offers,10,19,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Change in the Sumo Logic Board’s Recommendation,11,20,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Conditions to the Closing of the Merger,12,21,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Termination of the Merger Agreement,13,22,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Termination Fees and Remedies,14,23,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Delisting and Deregistration of Sumo Logic Common Stock,14,23,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Effect on Sumo Logic if the Merger is Not Completed,14,23,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Litigation Relating to the Merger,14,23,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",QUESTIONS AND ANSWERS,15,24,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",FORWARD-LOOKING STATEMENTS,24,33,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",THE SPECIAL MEETING,26,12,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf","Date, Time, and Place",26,35,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Purpose of the Special Meeting,26,35,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Attending the Special Meeting,26,35,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Record Date; Shares Entitled to Vote; Quorum,26,35,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Vote Required; Abstentions and Broker Non-Votes,26,35,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Shares Held by Sumo Logic’s Directors,27,36,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Voting of Proxies,27,36,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Revocability of Proxies,28,37,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",The Sumo Logic Board’s Recommendation,28,20,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Adjournment,29,38,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Solicitation of Proxies,29,38,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Anticipated Date of Completion of the Merger,29,38,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Appraisal Rights,29,38,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Other Matters,30,39,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf","Important Notice Regarding the Availability of Proxy Materials for the Stockholder Meeting to be Held on May 10, 2023",30,39,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Householding of Special Meeting Materials,30,39,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Questions and Additional Information,31,40,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",THE MERGER,32,10,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Parties Involved in the Merger,32,41,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Effects of the Merger,32,41,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Effect on Sumo Logic if the Merger is Not Completed,32,41,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Effect of the Merger on Sumo Logic’s Outstanding Common Stock,33,42,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Background of the Merger,34,43,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Recommendation of the Sumo Logic Board and Reasons for the Merger,45,54,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Opinion of Morgan Stanley & Co. LLC,48,57,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Projections,57,66,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Interests of Sumo Logic’s Directors and Executive Officers in the Merger,60,69,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Closing and Effective Time of the Merger,65,74,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Appraisal Rights,65,74,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Accounting Treatment,71,80,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,71,80,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Regulatory Approvals Required for the Merger,74,83,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Financing of the Merger,75,84,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",The Voting Agreements,75,84,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Delisting and Deregistration of Sumo Logic Common Stock,76,85,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Litigation Relating to the Merger,76,85,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,77,86,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf","PROPOSAL 2: APPROVAL, ON A NON-BINDING, ADVISORY BASIS, OF CERTAIN MERGER-RELATED EXECUTIVE COMPENSATION",78,87,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",PROPOSAL 3: ADJOURNMENT OF THE SPECIAL MEETING,79,88,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",THE MERGER AGREEMENT,80,86,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Closing and Effective Time of the Merger,80,89,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Effects of the Merger; Certificate of Incorporation; Bylaws; Directors and Officers,80,89,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Conversion of Shares,81,90,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf","Payment Agent, Exchange Fund and Exchange and Payment Procedures",83,92,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Representations and Warranties,83,92,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Conduct of Business Pending the Merger,88,97,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",No Solicitation of Other Acquisition Offers,90,99,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",The Sumo Logic Board’s Recommendation; Board Recommendation Change,92,101,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Stockholder Meeting,94,103,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Employee Matters,94,103,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Efforts to Close the Merger,95,104,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Indemnification and Insurance,96,105,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Conditions to the Closing of the Merger,97,106,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Termination of the Merger Agreement,98,107,UNDEFINED,UNDEFINED
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Termination Fees and Remedies,99,108,UNDEFINED,UNDEFINED
