Document,Section Header,Section Text,Page Number
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",SUMMARY,UNDEFINED,1
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",The Parties to the Mergers,UNDEFINED,1
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",The Special Meeting,UNDEFINED,3
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",The Mergers,UNDEFINED,5
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Recommendation of Our Board of Directors and the Special Committee,UNDEFINED,5
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Opinion of the Special Committee’s Financial Advisor,UNDEFINED,5
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Treatment of Common Stock,UNDEFINED,6
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Treatment of Equity Awards,UNDEFINED,6
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Treatment of Interests in Company Ltd.,UNDEFINED,7
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Treatment of Interests in Company Merger Sub,UNDEFINED,7
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Financing,UNDEFINED,7
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Amendment to the Tax Receivable Agreement,UNDEFINED,8
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Rollover Agreements,UNDEFINED,9
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Voting and Support Agreements,UNDEFINED,9
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Purchase and Sale Agreement,UNDEFINED,9
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Interests of the Company’s Directors and Executive Officers in the Mergers,UNDEFINED,10
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Restriction on Solicitation of Company Takeover Proposals,UNDEFINED,10
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Conditions to the Mergers,UNDEFINED,10
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Termination of the Merger Agreement,UNDEFINED,11
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Termination Fees,UNDEFINED,12
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Guarantees and Remedies,UNDEFINED,14
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Regulatory Matters,UNDEFINED,14
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Dissenters’ Rights,UNDEFINED,16
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Material U.S. Federal Income Tax Consequences,UNDEFINED,16
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Delisting and Deregistration of Our Class A Common Stock,UNDEFINED,17
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Market Price of Our Class A Common Stock,UNDEFINED,17
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGERS,UNDEFINED,18
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,26
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",PROPOSAL 1: PROPOSAL TO APPROVE THE MERGER,UNDEFINED,28
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",PROPOSAL 2: PROPOSAL TO APPROVE THE MERGER-RELATED COMPENSATION,UNDEFINED,29
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",PROPOSAL 3: PROPOSAL TO APPROVE ADJOURNMENT OF THE MEETING,UNDEFINED,30
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",THE PARTIES TO THE MERGERS,UNDEFINED,31
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",THE SPECIAL MEETING,UNDEFINED,33
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf","Date, Time and Purpose of the Special Meeting",UNDEFINED,33
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf","Record Date, Notice and Quorum",UNDEFINED,33
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Required Vote,UNDEFINED,34
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Solicitation of Proxies,UNDEFINED,35
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Voting of Shares,UNDEFINED,35
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Proxies and Revocation,UNDEFINED,36
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Availability of Proxy Materials for the Special Meeting,UNDEFINED,37
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Adjournments and Postponements,UNDEFINED,37
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf","Voting in Person, Attendance at the Special Meeting",UNDEFINED,38
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Stockholder List,UNDEFINED,38
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",The Mergers,UNDEFINED,39
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",General Description of the Mergers,UNDEFINED,39
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Background of the Mergers,UNDEFINED,39
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Reasons for the Mergers,UNDEFINED,47
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Recommendation of the Board of Directors and the Special Committee,UNDEFINED,52
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Certain Unaudited Financial Projections,UNDEFINED,52
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Opinion of the Special Committee’s Financial Advisor,UNDEFINED,54
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Financing,UNDEFINED,61
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Amendment to the Tax Receivable Agreement,UNDEFINED,64
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Rollover Agreements,UNDEFINED,65
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Voting and Support Agreements,UNDEFINED,66
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Purchase and Sale Agreements,UNDEFINED,67
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Interests of the Company’s Directors and Executive Officers in the Mergers,UNDEFINED,67
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Certain Assumptions,UNDEFINED,67
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Treatment of Outstanding Equity Awards,UNDEFINED,69
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Treatment of Company Ltd. Common Units,UNDEFINED,70
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Severance Benefits,UNDEFINED,71
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Treatment of Annual Bonus,UNDEFINED,72
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Potential Employment Arrangements with Parent,UNDEFINED,72
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Employee Benefits,UNDEFINED,72
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Indemnification and Insurance,UNDEFINED,72
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Quantification of Potential Payments and Benefits to Our Named Executive Officers in Connection with the Mergers,UNDEFINED,73
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Regulatory Matters,UNDEFINED,74
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Material U.S. Federal Income Tax Consequences,UNDEFINED,76
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Delisting and Deregistration of Our Class A Common Stock,UNDEFINED,80
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Guarantees and Remedies,UNDEFINED,80
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Certain Effects of the Mergers,UNDEFINED,81
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Effects on the Company if the Mergers Are Not Consummated,UNDEFINED,82
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Legal Proceedings Regarding the Mergers and the Transactions Contemplated Thereby,UNDEFINED,82
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Dissenters’ Rights,UNDEFINED,82
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Dividends,UNDEFINED,83
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",THE MERGER AGREEMENT,UNDEFINED,84
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Structure,UNDEFINED,84
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Effective Times; Closing Date,UNDEFINED,85
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Organizational Documents,UNDEFINED,85
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Directors and Officers,UNDEFINED,86
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Treatment of Common Stock and Equity Awards,UNDEFINED,86
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Treatment of Interests in Company Ltd.,UNDEFINED,87
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Certain Dividends,UNDEFINED,87
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",No Further Ownership Rights,UNDEFINED,88
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Exchange and Payment Procedures,UNDEFINED,88
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Representations and Warranties,UNDEFINED,89
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Conduct of Our Business Pending the Mergers,UNDEFINED,94
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Special Meeting,UNDEFINED,98
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Agreement to Take Certain Actions,UNDEFINED,98
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Restriction on Solicitation of Company Takeover Proposals,UNDEFINED,100
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Obligation of the Board of Directors with Respect to Its Recommendation,UNDEFINED,102
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Employee Matters,UNDEFINED,104
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Directors’ and Officers’ Indemnification and Insurance,UNDEFINED,105
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Financing Cooperation,UNDEFINED,107
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Certain Other Covenants,UNDEFINED,109
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Conditions to the Mergers,UNDEFINED,110
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Termination of the Merger Agreement,UNDEFINED,111
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Termination Fees,UNDEFINED,113
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Guarantees and Remedies,UNDEFINED,114
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Expenses,UNDEFINED,115
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Amendment and Waiver,UNDEFINED,115
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",MARKET PRICE OF OUR CLASS A COMMON STOCK,UNDEFINED,116
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",SECURITY OWNERSHIP OF DIRECTORS AND EXECUTIVE OFFICERS AND CERTAIN BENEFICIAL OWNERS,UNDEFINED,117
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",DISSENTERS’ RIGHTS,UNDEFINED,121
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",STOCKHOLDER PROPOSALS,UNDEFINED,123
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",HOUSEHOLDING,UNDEFINED,124
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",WHERE YOU CAN FIND ADDITIONAL INFORMATION,UNDEFINED,125
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Available Information,UNDEFINED,125
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Other Matters,UNDEFINED,126
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",ANNEX A: Agreement and Plan of Merger,UNDEFINED,A-1
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",ANNEX B: Opinion of Goldman Sachs & Co. LLC,UNDEFINED,B-1
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",ANNEX C: Nevada Dissenters’ Rights Statute,UNDEFINED,C-1
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Interests of the Company’s Directors and Executive Officers in the Mergers,UNDEFINED,67
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Restriction on Solicitation of Company Takeover Proposals,UNDEFINED,100
"Switch, Inc._20220627_DEFM14A_20186829_4481092.Pdf",Conditions to the Mergers,UNDEFINED,110
