Document,Section Header,Section Text,Page Number
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,SUMMARY,UNDEFINED,1
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Parties Involved in the Merger,UNDEFINED,1
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,The Merger,UNDEFINED,3
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Merger Consideration,UNDEFINED,3
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,4
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Appraisal Rights,UNDEFINED,4
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Litigation Relating to the Merger,UNDEFINED,5
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,6
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Closing Conditions,UNDEFINED,6
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Financing of the Merger,UNDEFINED,7
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Required Stockholder Approval,UNDEFINED,8
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,The Special Meeting,UNDEFINED,8
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Recommendation of the TEGNA Board of Directors,UNDEFINED,9
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Opinion of J.P. Morgan Securities LLC,UNDEFINED,9
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,"Opinion of Greenhill & Co., LLC",UNDEFINED,10
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Interests of TEGNA’s Executive Officers and Directors in the Merger,UNDEFINED,10
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Restrictions on Solicitation of Alternative Proposals,UNDEFINED,10
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Termination of the Merger Agreement,UNDEFINED,11
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Effect on TEGNA If the Merger Is Not Completed,UNDEFINED,11
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,QUESTIONS AND ANSWERS,UNDEFINED,12
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,FORWARD-LOOKING STATEMENTS,UNDEFINED,19
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,THE SPECIAL MEETING,UNDEFINED,20
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,"Date, Time and Place",UNDEFINED,20
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Purpose of the Special Meeting,UNDEFINED,20
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Record Date; Shares Entitled to Vote; Quorum,UNDEFINED,20
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Vote Required; Abstentions and Broker Non-Votes,UNDEFINED,20
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Stock Ownership and Interests of Certain Persons,UNDEFINED,21
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Voting at the Special Meeting,UNDEFINED,21
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Revocability of Proxies,UNDEFINED,22
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Board of Directors’ Recommendation,UNDEFINED,22
