Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Proxy Summary,1,8,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Parties Involved in the Merger,1,8,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Annual Meeting of Stockholders,2,9,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,The Merger,2,8,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Voting Recommendations of the Board,12,19,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Director Nominees,13,20,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Board Composition,14,21,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Key Features of Our Executive Compensation Program,14,21,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Governance Highlights,15,22,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Environmental and Social Highlights,15,22,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Questions and Answers,16,23,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Cautionary Statement Regarding Forward-Looking Statements,25,32,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,The Merger,27,9,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Parties Involved in the Merger,27,34,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Certain Effects of the Merger on Tenneco,28,35,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Effect on Tenneco if the Merger is not Completed,28,35,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Merger Consideration,28,35,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Background of the Merger,29,36,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Recommendation of the Board of Directors and Reasons for the Merger,41,48,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Opinion of Lazard Frères & Co. LLC,45,52,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Certain Financial Projections,53,60,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Interest of the Directors and Officers of Tenneco in the Merger,55,62,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Financing of the Merger,59,66,UNDEFINED,UNDEFINED
TENNECO INC_20220426_DEFM14A_20034100_4448087.Pdf,Limited Guarantee,61,68,UNDEFINED,UNDEFINED
