Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,FREQUENTLY USED TERMS,1,14,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,QUESTIONS AND ANSWERS,6,19,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,SUMMARY,20,33,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,Information about the Companies,20,33,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,Risk Factors Summary,22,35,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,The Transaction and the Merger Agreement,25,38,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,Merger Consideration,25,38,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,Terminix’s Board of Directors’ Recommendation,26,39,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,Opinion of Terminix’s Financial Advisor,26,39,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,The Terminix Special Meeting,27,40,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,Listing of Rentokil Initial ADSs,28,41,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,Delisting and Deregistration of Terminix Common Stock,28,41,UNDEFINED,UNDEFINED
TERMINIX GLOBAL HOLDINGS INC_20220907_DEFM14A_20330027_4514503.Pdf,Material U.S. Federal Income Tax Consequences,28,41,UNDEFINED,UNDEFINED
