Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",SUMMARY,1,10,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",The Special Meeting,1,10,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Parties Involved in the Merger,3,12,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Effect of the Merger,3,12,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Effect on Tivity Health if the Merger Is Not Consummated,4,13,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Transaction Consideration,4,13,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Recommendation of the Board and Reasons for the Merger,4,13,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Opinion of Tivity Health’s Financial Advisor,4,13,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Interests of the Directors and Executive Officers of Tivity Health in the Merger,5,14,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Treatment of Tivity Health Equity Awards,6,15,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Financing of the Merger,6,15,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",U.S. Federal Income Tax Consequences of the Merger,7,16,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Regulatory Approvals Required for the Merger,7,16,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Legal Proceedings Regarding the Merger,7,16,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Restrictions on Solicitations of Other Offers,8,17,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Alternative Acquisition Agreements,8,17,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Adverse Recommendation Changes,9,18,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Employee Benefits,9,18,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Efforts to Close the Merger,10,19,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Conditions to the Closing of the Merger,10,19,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Termination of the Merger Agreement,11,20,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Termination Fees,13,22,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Enforcement Expenses,13,22,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Specific Performance,14,23,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Appraisal Rights,14,23,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",QUESTIONS AND ANSWERS,15,24,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,25,34,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",THE SPECIAL MEETING,26,10,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf","Date, Time and Place of the Special Meeting",26,35,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Purpose of the Special Meeting,26,35,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Record Date; Shares Entitled to Vote; Quorum,26,35,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Vote Required; Abstentions and Broker Non-Votes,26,35,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Shares Held by Tivity Health’s Directors and Executive Officers,27,36,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Voting of Proxies,27,36,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",How You May Revoke or Change Your Vote,28,37,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Adjournments and Postponements,28,37,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Tabulation of Votes,29,38,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Solicitation of Proxies,29,38,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Anticipated Date of Consummation of the Merger,29,38,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Attending the Special Meeting,29,38,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Assistance,30,39,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Rights of Stockholders Who Seek Appraisal,30,39,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,31,40,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",THE MERGER,31,12,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Parties Involved in the Merger,31,40,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Effect of the Merger,32,41,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Effect on Tivity Health if the Merger Is Not Consummated,32,41,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Transaction Consideration,33,42,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Background of the Merger,33,42,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Recommendation of the Board and Reasons for the Merger,41,50,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Opinion of Tivity Health’s Financial Advisor,46,55,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Projections Prepared by Tivity Health’s Management,54,63,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Interests of the Directors and Executive Officers of Tivity Health in the Merger,56,65,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Financing of the Merger,62,71,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Closing and Effective Time,63,72,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Accounting Treatment,63,72,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",U.S. Federal Income Tax Consequences of the Merger,63,72,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Regulatory Approvals Required for the Merger,65,74,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Legal Proceedings Regarding the Merger,66,75,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",TERMS OF THE MERGER AGREEMENT,66,75,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Explanatory Note Regarding the Merger Agreement,66,75,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Effects of the Merger,67,76,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Closing and Effective Time,67,76,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Directors and Officers; Certificate of Incorporation; Bylaws,67,76,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Transaction Consideration,67,76,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Exchange and Payment Procedures,69,78,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Representations and Warranties,70,79,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Conduct of Business Pending the Merger,74,83,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Restrictions on Solicitations of Other Offers,75,84,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Alternative Acquisition Agreements,77,86,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Adverse Recommendation Changes,78,87,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Financing Efforts,79,88,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Employee Benefits,81,90,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Efforts to Close the Merger,82,91,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Access to Information,83,92,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Indemnification and Insurance,84,93,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Other Covenants,85,94,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Conditions to the Closing of the Merger,85,94,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Termination of the Merger Agreement,86,95,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Termination Fees,88,97,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Enforcement Expenses,88,97,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Specific Performance,89,98,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Fees and Expenses,89,98,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Amendments; Waivers and Extension,89,98,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Jurisdiction,90,99,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Governing Law,90,99,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",PROPOSAL 2: ADVISORY VOTE ON MERGER-RELATED EXECUTIVE COMPENSATION ARRANGEMENTS,91,100,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",The Non-Binding Advisory Proposal,91,100,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Vote Required and Board Recommendation,91,100,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",PROPOSAL 3: ADJOURNMENT,92,101,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Adjournment Proposal,92,101,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Vote Required and Board Recommendation,92,101,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,93,102,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",APPRAISAL RIGHTS,95,104,UNDEFINED,UNDEFINED
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Filing Written Demand,96,105,UNDEFINED,UNDEFINED
