Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,SUMMARY,1,8,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Parties Involved in the Merger,1,8,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Certain Effects of the Merger on TravelCenters,1,8,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Effect on TravelCenters if the Merger is Not Completed,2,9,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,The Merger Consideration,2,9,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,The Special Meeting,2,9,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Recommendation of the TravelCenters Board of Directors and Reasons for the Merger,3,10,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Opinion of Citigroup Global Markets Inc.,4,11,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Financing of the Merger,4,11,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Interests of Certain Directors and Executive Officers of TravelCenters,4,11,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Treatment of TravelCenters Equity Awards,5,12,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,No Dissenters’ Rights of Appraisal,5,12,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,5,12,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Regulatory Approvals for the Merger,5,12,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,No Solicitation,6,13,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Adverse Recommendation Change,7,14,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Discussions; Notice of Acquisition Proposals,7,14,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Superior Proposal,7,14,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Intervening Event,8,15,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Conditions to Closing of the Merger,8,15,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Termination of the Merger Agreement,8,15,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Termination Fee & Reverse Termination Fee,10,17,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Voting Agreements,10,17,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Consent and Amendment Agreement,10,17,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Amended and Restated Lease Agreements and Amended and Restated Guaranty Agreements,11,18,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Market Prices and Dividend Data,11,18,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,QUESTIONS AND ANSWERS ABOUT THE MERGER,12,19,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,20,27,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,PARTIES INVOLVED IN THE MERGER,21,8,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,THE SPECIAL MEETING,22,9,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,"Date, Time and Place",22,29,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Purpose of the Special Meeting,22,29,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Record Date; Shares Entitled to Vote; Quorum,22,29,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Vote Required; Abstentions and Broker Non-Votes,22,29,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Shares Held by TravelCenters’s Directors and Executive Officers,23,30,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Voting of Proxies,23,30,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Revocability of Proxies,24,31,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,TravelCenters Board of Directors’ Recommendation,24,31,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Solicitation of Proxies,24,31,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Anticipated Date of Completion of the Merger,25,32,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Householding of Special Meeting Materials,25,32,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Assistance,25,32,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,THE MERGER,26,32,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Certain Effects of the Merger on TravelCenters,26,33,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Effect on TravelCenters if the Merger is Not Completed,26,33,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Merger Consideration,26,33,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Background of the Merger,27,34,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Recommendation of the TravelCenters Board of Directors and Reasons for the Merger,36,43,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Opinion of Citigroup Global Markets Inc.,41,48,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Certain Financial Forecasts,47,54,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Interests of Certain Directors and Executive Officers of TravelCenters,50,57,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Financing of the Merger,53,60,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Closing and Effective Time of the Merger,53,60,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,54,61,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Regulatory Approvals for the Merger,57,64,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Legal Proceedings Regarding the Merger,58,65,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,THE MERGER AGREEMENT,59,66,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Explanatory Note Regarding the Merger Agreement,59,66,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Effects of the Merger; Closing; Effective Time,59,66,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Governing Documents; Directors and Officers,60,67,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Effect on TravelCenters Common Stock and Equity Awards,60,67,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Surrender and Payment Procedures,61,68,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Representations and Warranties,62,69,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Conduct of Business Pending the Merger,66,73,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,No Solicitation,69,76,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Adverse Recommendation Change,70,77,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Discussions; Notice of Acquisition Proposals,71,78,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Superior Proposal,71,78,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Intervening Event,72,79,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Special Meeting for Stockholder Approval,73,80,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Efforts to Close the Merger,74,81,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,"Indemnification, Exculpation and Insurance of Directors and Executive Officers",76,83,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Employee Matters,77,84,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Other Covenants,78,85,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Conditions to the Closing of the Merger,79,86,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Termination of the Merger Agreement,81,88,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Expenses,83,90,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Amendments and Waivers,83,90,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Governing Law,83,90,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Specific Performance,83,90,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Voting Agreements,84,91,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Consent and Amendment Agreement,84,91,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,PROPOSAL 1: APPROVAL OF THE MERGER AGREEMENT,85,92,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,"PROPOSAL 2: ADVISORY, NON-BINDING VOTE ON MERGER-RELATED EXECUTIVE COMPENSATION ARRANGEMENTS",86,93,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,PROPOSAL 3: ADJOURNMENT OF THE SPECIAL MEETING,88,95,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,MARKET PRICES AND DIVIDEND DATA,89,96,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,OWNERSHIP OF OUR EQUITY SECURITIES,90,97,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,NO DISSENTERS’ RIGHTS OF APPRAISAL,93,100,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,FUTURE STOCKHOLDER PROPOSALS,94,101,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,WHERE YOU CAN FIND MORE INFORMATION,95,102,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,MISCELLANEOUS,96,103,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Annex A: Agreement and Plan of Merger,A-1,104,UNDEFINED,UNDEFINED
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Annex B: Opinion of Citigroup Global Markets Inc.,B-1,170,UNDEFINED,UNDEFINED
