Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",FORWARD-LOOKING STATEMENTS,i,5,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",SUMMARY,1,7,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",THE SPECIAL MEETING,11,17,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",PROXY STATEMENT FOR 2022 SPECIAL MEETING OF STOCKHOLDERS,16,22,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",QUESTIONS AND ANSWERS,18,24,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",PROPOSAL NO. 1 - THE MERGER,29,35,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",THE MERGER AGREEMENT,70,76,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",PROPOSAL NO. 2 - ADVISORY VOTE ON MERGER-RELATED COMPENSATION,83,89,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",PROPOSAL NO. 3 - ADJOURNMENT OF THE SPECIAL MEETING,84,90,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",MARKET PRICES AND DIVIDEND DATA,85,91,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,85,91,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS,87,91,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",APPRAISAL RIGHTS,88,94,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",FUTURE STOCKHOLDER PROPOSALS,92,98,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",ADDITIONAL INFORMATION AND WHERE TO FIND IT,94,100,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",A-,1,101,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf","Annex B - Opinion of Barclays Capital, Inc.",B-,162,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",B-,1,162,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf","Annex C - Opinion of Houlihan Lokey Capital, Inc.",C-,165,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",C-,1,165,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",Annex D - Section 262 of the Delaware General Corporation Law,D-,169,UNDEFINED,UNDEFINED
"US Ecology, Inc._20220329_DEFM14A_19977995_4426339.Pdf",D-,1,5,UNDEFINED,UNDEFINED
