Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,SUMMARY,1,7,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Parties Involved in the Merger,1,7,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,The Merger,2,7,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Merger Consideration,2,8,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,4,10,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Appraisal Rights,4,10,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Litigation Related to the Merger,5,11,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Regulatory Approvals Required for the Merger,6,12,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Conditions to the Closing of the Merger,7,13,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Financing of the Merger,8,14,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Required Stockholder Approval,9,15,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,The Special Meeting,10,16,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Recommendation of the Univar Solutions Board of Directors,10,16,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Opinion of Goldman Sachs & Co. LLC,10,16,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Opinion of Deutsche Bank Securities Inc.,11,17,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Interests of Univar Solutions’ Executive Officers and Directors in the Merger,11,17,UNDEFINED,UNDEFINED
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,No Solicitation,12,18,UNDEFINED,UNDEFINED
