Document,Section Header,Section Text,Page Number
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Background of the Merger,UNDEFINED,30
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Recommendation of the Board of Directors and Reasons for the Merger,UNDEFINED,39
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Opinion of Morgan Stanley & Co. LLC,UNDEFINED,42
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Management Projections,UNDEFINED,51
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Interests of Our Executive Officers and Directors in the Merger,UNDEFINED,53
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Financing of the Merger,UNDEFINED,57
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Closing and Effective Time,UNDEFINED,58
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Appraisal Rights,UNDEFINED,59
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Litigation Related to the Merger,UNDEFINED,65
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Accounting Treatment,UNDEFINED,65
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,65
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Regulatory Approvals Required for the Merger,UNDEFINED,67
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,UNDEFINED,69
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Effects of the Merger; Directors and Officers; Certificate of Incorporation; Bylaws,UNDEFINED,69
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Closing and Effective Time,UNDEFINED,70
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Merger Consideration,UNDEFINED,70
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Exchange and Payment Procedures,UNDEFINED,71
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Representations and Warranties,UNDEFINED,72
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Conduct of Business Pending the Merger,UNDEFINED,75
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",The Go-Shop Period - Solicitation of Other Offers,UNDEFINED,77
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",The No-Shop Period - No Solicitation of Other Offers,UNDEFINED,78
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",The Board of Directors’ Recommendation; Change of Recommendation,UNDEFINED,80
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Employee Benefits,UNDEFINED,82
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Efforts to Close the Merger,UNDEFINED,84
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Cooperation with Debt Financing,UNDEFINED,84
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Indemnification and Insurance,UNDEFINED,86
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Other Covenants,UNDEFINED,87
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Conditions to the Closing of the Merger,UNDEFINED,88
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Termination of the Merger Agreement,UNDEFINED,89
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Termination Fee,UNDEFINED,91
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Specific Performance,UNDEFINED,91
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Limitations of Liability,UNDEFINED,92
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Fees and Expenses,UNDEFINED,93
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Amendment,UNDEFINED,93
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Governing Law,UNDEFINED,93
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Vote Required and Board of Directors Recommendation,UNDEFINED,93
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",PROPOSAL 2: ADJOURNMENT OF THE SPECIAL MEETING,UNDEFINED,94
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,UNDEFINED,95
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",FUTURE STOCKHOLDER PROPOSALS,UNDEFINED,98
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",WHERE YOU CAN FIND MORE INFORMATION,UNDEFINED,99
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",MISCELLANEOUS,UNDEFINED,100
