Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",ABOUT THIS PROXY STATEMENT/PROSPECTUS,i,6,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",QUESTIONS AND ANSWERS,1,8,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",SUMMARY,11,18,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,25,32,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",RISK FACTORS,27,34,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",INFORMATION ABOUT VMWARE,36,43,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",INFORMATION ABOUT BROADCOM,37,44,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",INFORMATION ABOUT THE VMWARE SPECIAL MEETING,38,45,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",PROPOSAL 1: THE MERGER AGREEMENT PROPOSAL,43,50,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",PROPOSAL 2: THE MERGER-RELATED COMPENSATION PROPOSAL,44,51,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",PROPOSAL 3: THE ADJOURNMENT PROPOSAL,45,52,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",PROPOSAL 4: THE CHARTER AMENDMENT PROPOSAL,46,53,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",THE TRANSACTIONS,47,54,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",THE MERGER AGREEMENT,94,50,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",THE VOTING AGREEMENTS,124,131,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",OTHER MATTERS,126,133,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",UNAUDITED PRO FORMA CONDENSED COMBINED FINANCIAL INFORMATION,127,134,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",COMPARISON OF RIGHTS OF COMMON STOCKHOLDERS OF BROADCOM AND VMWARE,143,153,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",INFORMATION ABOUT THE VMWARE BENEFICIAL OWNERS,158,168,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",APPRAISAL RIGHTS OF VMWARE STOCKHOLDERS,160,170,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",LEGAL MATTERS,164,174,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",EXPERTS,165,175,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",VMWARE STOCKHOLDER PROPOSALS,166,176,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",HOUSEHOLDING OF PROXY STATEMENT/PROSPECTUS,167,177,UNDEFINED,UNDEFINED
"VMWARE, INC._20221003_DEFM14A_20371516_4525585.Pdf",WHERE YOU CAN FIND MORE INFORMATION,168,178,UNDEFINED,UNDEFINED
