Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,SUMMARY TERM SHEET,1,8,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,The Parties,1,8,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,The Merger,1,9,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,The Special Meeting,2,9,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Stockholders Entitled to Vote; Vote Required to Adopt the Merger Agreement,2,9,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Shares of Vonage Common Stock Held by Vonage’s Directors and Executive Officers,2,10,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,How to Vote,3,10,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Recommendation of the Board; Reasons for Recommending the Adoption of the Merger Agreement,3,10,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Opinion of Qatalyst Partners LP,3,11,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Market Price and Dividend Data,4,11,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Certain Effects of the Merger,4,11,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Consequences if the Merger is Not Completed,4,12,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Treatment of Equity Awards,5,12,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Treatment of Convertible Notes,5,13,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Interests of Directors and Executive Officers in the Merger,6,13,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Conditions to the Merger,6,14,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Regulatory Approvals,7,15,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Financing,8,15,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Restriction on Solicitation of Competing Proposals,8,15,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Termination of the Merger Agreement,8,16,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Termination Fees,9,17,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Appraisal Rights,10,18,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,11,18,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Additional Information,11,19,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,12,20,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,13,28,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,PARTIES TO THE MERGER,21,30,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Vonage,23,10,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Parent,23,30,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Merger Sub,23,30,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,THE SPECIAL MEETING,24,9,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,"Date, Time and Place of the Special Meeting",24,31,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Purpose of the Special Meeting,24,31,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Recommendation of the Board,24,10,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Record Date and Quorum,24,31,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Vote Required for Approval,25,32,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Shares of Vonage Common Stock Held by Vonage’s Directors and Executive Officers,25,32,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Effect of Abstentions and Broker Non-Votes,25,32,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,How to Vote,26,33,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Revocation of Proxies,27,34,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Adjournments and Postponements,27,34,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Solicitation of Proxies,27,34,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Stockholder List,28,35,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Questions and Additional Information,28,35,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,29,36,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,PROPOSAL 2: NON-BINDING COMPENSATION ADVISORY PROPOSAL,30,37,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,PROPOSAL 3: AUTHORITY TO ADJOURN THE SPECIAL MEETING,31,38,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,THE MERGER,32,39,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Overview,32,39,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Background of the Merger,32,39,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Recommendation of the Board,40,47,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Reasons for Recommending the Adoption of the Merger Agreement,40,47,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Certain Financial Projections Utilized in Connection with the Merger,44,51,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Opinion of Qatalyst Partners LP,47,54,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Illustrative Discounted Cash Flow Analysis,49,56,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Selected Companies Analysis,49,56,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Selected Transactions Analysis,51,58,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Sum of the Parts Analysis,52,59,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Miscellaneous,53,60,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Interests of Directors and Executive Officers in the Merger,54,61,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Treatment of Outstanding Equity Awards,55,62,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Employment and Related Agreements,57,64,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Named Executive Officers,57,64,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Rory Read Employment Agreement,57,64,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Rodolpho Cardenuto,57,64,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Stephen Lasher,57,64,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Other Executive Officers,58,65,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Jay Bellissimo,58,65,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Savinay Berry,58,65,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Other Executive Officers,58,65,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Executive Severance Policy,58,65,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Agreements with Parent,58,65,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Rory Read Letter Agreement,59,66,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Section 280G Mitigation Actions,59,66,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Director and Officer Indemnification and Insurance,60,67,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Golden Parachute Compensation,61,68,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Certain Effects of the Merger,63,70,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Consequences if the Merger is Not Completed,64,71,UNDEFINED,UNDEFINED
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Financing of the Merger,64,71,UNDEFINED,UNDEFINED
