Document,Section Header,Section Text,Page Number
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",SUMMARY,UNDEFINED,1
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",The Special Meeting,UNDEFINED,1
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Parties Involved in the Merger,UNDEFINED,4
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Effect of the Merger,UNDEFINED,5
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Investment and Separation Matters Agreement,UNDEFINED,5
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Effect on Veoneer if the Merger is Not Consummated,UNDEFINED,6
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Merger Consideration,UNDEFINED,6
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Recommendation of the Board and Reasons for the Merger,UNDEFINED,6
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Opinions of Veoneer’s Financial Advisors,UNDEFINED,6
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Interests of the Directors and Executive Officers of Veoneer in the Merger,UNDEFINED,7
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Treatment and Quantification of Veoneer Equity Awards,UNDEFINED,8
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Financing of the Merger,UNDEFINED,9
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",U.S. Federal Income Tax Considerations of the Merger,UNDEFINED,9
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Regulatory Approvals Required for the Merger,UNDEFINED,10
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Legal Proceedings Regarding the Merger,UNDEFINED,10
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Restrictions on Solicitations of Other Offers,UNDEFINED,11
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Adverse Recommendation Changes,UNDEFINED,11
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Employee Matters,UNDEFINED,12
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Efforts to Close the Merger,UNDEFINED,12
