Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",SUMMARY,1,5,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,12,16,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,19,23,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",PROPOSAL 1 MERGER PROPOSAL,20,24,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",PROPOSAL 2 ADVISORY COMPENSATION PROPOSAL,21,25,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",PROPOSAL 3 PROPOSAL TO APPROVE ADJOURNMENT OF THE MEETING,22,26,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",THE PARTIES TO THE MERGER,23,27,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",THE SPECIAL MEETING,24,16,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",THE MERGER,27,16,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",THE MERGER AGREEMENT,52,56,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,70,74,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",NO DISSENTERS’ RIGHTS OF APPRAISAL,71,75,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",SUBMISSION OF STOCKHOLDER PROPOSALS,72,76,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",STOCKHOLDERS SHARING THE SAME ADDRESS,73,77,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",OTHER MATTERS,74,78,UNDEFINED,UNDEFINED
"Watermark Lodging Trust, Inc._20220615_DEFM14A_20166959_4476791.Pdf",WHERE YOU CAN FIND MORE INFORMATION,75,79,UNDEFINED,UNDEFINED
