Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,QUESTIONS AND ANSWERS,1,11,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,SUMMARY,14,24,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,SELECTED HISTORICAL CONSOLIDATED FINANCIAL DATA OF AMD,28,38,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,SELECTED HISTORICAL CONSOLIDATED FINANCIAL DATA OF XILINX,30,40,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,SELECTED UNAUDITED PRO FORMA CONDENSED COMBINED FINANCIAL INFORMATION,32,42,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,COMPARATIVE HISTORICAL UNAUDITED PRO FORMA PER SHARE DATA,34,44,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,35,45,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,RISK FACTORS,37,47,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,THE PARTIES TO THE MERGER,53,63,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,THE AMD SPECIAL MEETING,55,65,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,AMD PROPOSAL 1: APPROVAL OF THE SHARE ISSUANCE,62,72,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,AMD PROPOSAL 2: ADJOURNMENT OF THE AMD SPECIAL MEETING,63,73,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,THE XILINX SPECIAL MEETING,64,74,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,XILINX PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,71,81,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,XILINX PROPOSAL 2: ADVISORY NON-BINDING VOTE ON MERGER-RELATED COMPENSATION FOR NAMED EXECUTIVE OFFICERS,72,82,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,XILINX PROPOSAL 3: ADJOURNMENT OF THE XILINX SPECIAL MEETING,73,83,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,THE MERGER,74,63,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,THE MERGER AGREEMENT,154,81,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,UNAUDITED PRO FORMA CONDENSED COMBINED FINANCIAL STATEMENTS,181,191,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,INFORMATION ABOUT AMD’S BOARD OF DIRECTORS AND EXECUTIVE OFFICERS,196,206,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,CORPORATE GOVERNANCE OF AMD,204,214,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,AMD DIRECTORS’ COMPENSATION AND BENEFITS,210,220,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,AMD EXECUTIVE COMPENSATION,214,224,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,AMD-CERTAIN RELATIONSHIPS AND RELATED TRANSACTIONS,253,263,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,INTERESTS OF AMD DIRECTORS AND EXECUTIVE OFFICERS IN THE MERGER,254,264,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,INTERESTS OF XILINX DIRECTORS AND EXECUTIVE OFFICERS IN THE MERGER,255,265,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,U.S. FEDERAL INCOME TAX CONSEQUENCES OF THE MERGER,262,272,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,COMPARISON OF STOCKHOLDERS’ RIGHTS,265,275,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,NO APPRAISAL RIGHTS,274,284,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,LEGAL MATTERS,275,285,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,EXPERTS,275,285,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,CERTAIN BENEFICIAL OWNERS OF AMD COMMON STOCK,276,286,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,CERTAIN BENEFICIAL OWNERS OF XILINX COMMON STOCK,278,288,UNDEFINED,UNDEFINED
XILINX INC_20210305_DEFM14A_19107214_4148221.Pdf,STOCKHOLDER PROPOSALS,280,290,UNDEFINED,UNDEFINED
