Document,Section Header,Section Text,Page Number
Zendesk MA.Pdf,Closing and Effective Time,UNDEFINED,72
Zendesk MA.Pdf,Accounting Treatment,UNDEFINED,72
Zendesk MA.Pdf,Appraisal Rights,UNDEFINED,72
Zendesk MA.Pdf,Litigation Related to the Merger,UNDEFINED,77
Zendesk MA.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,78
Zendesk MA.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,81
Zendesk MA.Pdf,THE MERGER AGREEMENT,UNDEFINED,83
Zendesk MA.Pdf,Effects of the Merger; Directors and Officers; Certificate of Incorporation; Bylaws,UNDEFINED,83
Zendesk MA.Pdf,Closing and Effective Time,UNDEFINED,84
Zendesk MA.Pdf,Merger Consideration,UNDEFINED,84
Zendesk MA.Pdf,Exchange and Payment Procedures,UNDEFINED,84
Zendesk MA.Pdf,Withholding,UNDEFINED,85
Zendesk MA.Pdf,Representations and Warranties,UNDEFINED,85
Zendesk MA.Pdf,Conduct of Business Pending the Merger,UNDEFINED,89
Zendesk MA.Pdf,Restrictions on Solicitation of Alternative Proposals,UNDEFINED,90
Zendesk MA.Pdf,The Board of Directors’ Recommendation; Change of Recommendation,UNDEFINED,92
Zendesk MA.Pdf,Employee Benefits,UNDEFINED,93
Zendesk MA.Pdf,Debt Financing and Preferred Equity Financing,UNDEFINED,94
Zendesk MA.Pdf,Cooperation as to Debt Financing and Preferred Equity Financing,UNDEFINED,95
Zendesk MA.Pdf,Cooperation as to Certain Indebtedness,UNDEFINED,96
Zendesk MA.Pdf,Indemnification and Insurance,UNDEFINED,98
Zendesk MA.Pdf,Other Covenants,UNDEFINED,99
Zendesk MA.Pdf,Conditions to the Closing of the Merger,UNDEFINED,101
Zendesk MA.Pdf,Termination of the Merger Agreement,UNDEFINED,103
Zendesk MA.Pdf,Termination Fees,UNDEFINED,104
Zendesk MA.Pdf,Specific Enforcement,UNDEFINED,105
Zendesk MA.Pdf,Limitations of Liability,UNDEFINED,106
Zendesk MA.Pdf,Expenses,UNDEFINED,106
Zendesk MA.Pdf,Amendments and Waivers,UNDEFINED,106
Zendesk MA.Pdf,Governing Law,UNDEFINED,106
Zendesk MA.Pdf,PROPOSAL 2: THE COMPENSATION PROPOSAL,UNDEFINED,107
Zendesk MA.Pdf,PROPOSAL 3: THE ADJOURNMENT PROPOSAL,UNDEFINED,108
Zendesk MA.Pdf,SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,UNDEFINED,109
Zendesk MA.Pdf,Section 16(a) Beneficial Ownership Reporting Compliance,UNDEFINED,110
Zendesk MA.Pdf,FUTURE STOCKHOLDER PROPOSALS,UNDEFINED,111
Zendesk MA.Pdf,WHERE YOU CAN FIND MORE INFORMATION,UNDEFINED,112
Zendesk MA.Pdf,MISCELLANEOUS,UNDEFINED,113
Zendesk MA.Pdf,ANNEX A - AGREEMENT AND PLAN OF MERGER,UNDEFINED,A-1
Zendesk MA.Pdf,ANNEX B - OPINION OF QATALYST PARTNERS LP,UNDEFINED,B-1
Zendesk MA.Pdf,ANNEX C - OPINION OF GOLDMAN SACHS & CO. LLC,UNDEFINED,C-1
Zendesk MA.Pdf,ANNEX D - SECTION 262 OF THE GENERAL CORPORATION LAW OF THE STATE OF DELAWARE,UNDEFINED,D-1
